run_id,exp_id,model,accuracy,duration,when
76,76,xgb,0.784,12.9,2025-01-01 01:16:00
77,77,rf,0.705,175.5,2025-01-01 01:17:00
78,78,svm,0.958,62.1,2025-01-01 01:18:00
79,79,svm,0.617,119.3,2025-01-01 01:19:00
80,80,svm,0.724,278.8,2025-01-01 01:20:00
81,81,rf,0.505,186.7,2025-01-01 01:21:00
82,82,rf,0.536,64.7,2025-01-01 01:22:00
83,83,svm,0.565,105.4,2025-01-01 01:23:00
84,84,rf,0.931,111.5,2025-01-01 01:24:00
85,85,xgb,0.715,163.4,2025-01-01 01:25:00
86,86,svm,0.8,296.2,2025-01-01 01:26:00
87,87,rf,0.827,166.8,2025-01-01 01:27:00
88,88,rf,0.96,41.2,2025-01-01 01:28:00
89,89,rf,0.936,223.0,2025-01-01 01:29:00
90,90,xgb,0.633,181.8,2025-01-01 01:30:00
91,91,svm,0.6,190.6,2025-01-01 01:31:00
92,92,svm,0.748,76.1,2025-01-01 01:32:00
93,93,rf,0.545,127.6,2025-01-01 01:33:00
94,94,svm,0.522,100.7,2025-01-01 01:34:00
95,95,xgb,0.812,79.3,2025-01-01 01:35:00
96,96,logreg,0.77,128.9,2025-01-01 01:36:00
97,97,rf,0.555,283.6,2025-01-01 01:37:00
98,98,xgb,0.767,250.5,2025-01-01 01:38:00
99,99,xgb,0.711,13.5,2025-01-01 01:39:00
100,100,svm,0.941,239.0,2025-01-07 06:00:00
101,101,rf,0.94,63.8,2025-01-01 01:41:00
102,102,xgb,0.827,106.7,2025-01-01 01:42:00
103,103,logreg,0.977,225.1,2025-01-01 01:43:00
104,104,xgb,0.924,292.9,2025-01-01 01:44:00
105,105,xgb,0.932,8.4,2025-01-01 01:45:00
106,106,svm,0.883,124.1,2025-01-01 01:46:00
107,107,xgb,0.631,236.4,2025-01-01 01:47:00
108,108,rf,0.687,12.6,2025-01-01 01:48:00
109,109,logreg,0.609,245.2,2025-01-01 01:49:00
110,110,logreg,0.671,246.3,2025-01-01 01:50:00
111,111,xgb,0.609,198.3,2025-01-01 01:51:00
112,112,logreg,0.661,259.4,2025-01-01 01:52:00
113,113,svm,0.672,153.3,2025-01-01 01:53:00
114,114,svm,0.96,35.5,2025-01-01 01:54:00
115,115,svm,0.587,288.8,2025-01-01 01:55:00
116,116,svm,0.519,179.4,2025-01-01 01:56:00
117,117,svm,0.857,94.8,2025-01-01 01:57:00
118,118,rf,0.689,173.4,2025-01-01 01:58:00
119,119,svm,0.522,131.4,2025-01-01 01:59:00
120,120,xgb,0.678,21.9,2025-01-01 02:00:00
121,121,svm,0.805,199.4,2025-01-01 02:01:00
122,122,rf,0.853,90.8,2025-01-01 02:02:00
123,123,svm,0.827,98.5,2025-01-01 02:03:00
124,124,svm,0.772,58.4,2025-01-01 02:04:00
125,125,logreg,0.832,270.9,2025-01-01 02:05:00
126,126,svm,0.699,250.3,2025-01-01 02:06:00
127,127,svm,0.641,129.5,2025-01-01 02:07:00
128,128,svm,0.728,133.2,2025-01-01 02:08:00
129,129,xgb,0.75,238.3,2025-01-01 02:09:00
130,130,xgb,0.823,85.9,2025-01-01 02:10:00
131,131,svm,0.546,285.6,2025-01-01 02:11:00
132,132,xgb,0.83,68.2,2025-01-01 02:12:00
133,133,xgb,0.572,14.8,2025-01-01 02:13:00
134,134,logreg,0.8,230.8,2025-01-01 02:14:00
135,135,logreg,0.703,189.3,2025-01-01 02:15:00
136,136,xgb,0.852,115.8,2025-01-01 02:16:00
137,137,logreg,0.62,197.2,2025-01-01 02:17:00
138,138,rf,0.937,258.3,2025-01-01 02:18:00
139,139,rf,0.881,66.4,2025-01-01 02:19:00
140,140,logreg,0.525,75.5,2025-01-01 02:20:00
141,141,rf,0.724,240.6,2025-01-01 02:21:00
142,142,svm,0.966,267.5,2025-01-01 02:22:00
143,143,logreg,0.907,164.8,2025-01-01 02:23:00
144,144,xgb,0.864,142.9,2025-01-01 02:24:00
145,145,svm,0.868,252.1,2025-01-01 02:25:00
146,146,svm,0.875,156.9,2025-01-01 02:26:00
147,147,xgb,0.635,24.2,2025-01-01 02:27:00
148,148,svm,0.615,101.4,2025-01-01 02:28:00
149,149,rf,0.568,70.1,2025-01-01 02:29:00
150,150,xgb,0.846,20.2,2025-01-01 02:30:00
151,151,logreg,0.662,140.3,2025-01-01 02:31:00
152,152,rf,0.601,126.6,2025-01-01 02:32:00
153,153,rf,0.92,229.9,2025-01-01 02:33:00
154,154,logreg,0.734,282.9,2025-01-01 02:34:00
155,155,svm,0.869,256.2,2025-01-01 02:35:00
156,156,logreg,0.764,220.7,2025-01-01 02:36:00
157,157,xgb,0.739,82.6,2025-01-01 02:37:00
158,158,logreg,0.514,101.5,2025-01-01 02:38:00
159,159,logreg,0.855,252.3,2025-01-01 02:39:00
160,160,xgb,0.981,160.7,2025-01-01 02:40:00
161,161,logreg,0.79,199.2,2025-01-01 02:41:00
162,162,rf,0.815,41.6,2025-01-01 02:42:00
163,163,logreg,0.589,78.8,2025-01-01 02:43:00
164,164,svm,0.604,98.7,2025-01-01 02:44:00
165,165,logreg,0.636,285.4,2025-01-01 02:45:00
166,166,logreg,0.624,25.5,2025-01-01 02:46:00
167,167,rf,0.867,16.6,2025-01-01 02:47:00
168,168,svm,0.61,21.5,2025-01-01 02:48:00
169,169,rf,0.87,284.9,2025-01-01 02:49:00
170,170,xgb,0.911,186.8,2025-01-01 02:50:00
171,171,xgb,0.562,201.2,2025-01-01 02:51:00
172,172,xgb,0.728,77.6,2025-01-01 02:52:00
173,173,svm,0.582,182.6,2025-01-01 02:53:00
174,174,rf,0.881,50.0,2025-01-01 02:54:00
175,175,svm,0.553,8.7,2025-01-01 02:55:00
176,176,svm,0.782,272.5,2025-01-01 02:56:00
177,177,logreg,0.694,214.8,2025-01-01 02:57:00
178,178,rf,0.79,249.3,2025-01-01 02:58:00
179,179,xgb,0.55,232.0,2025-01-01 02:59:00
180,180,rf,0.89,170.2,2025-01-01 03:00:00
181,181,rf,0.67,129.1,2025-01-01 03:01:00
182,182,svm,0.534,194.6,2025-01-01 03:02:00
183,183,rf,0.916,246.9,2025-01-01 03:03:00
184,184,rf,0.712,109.3,2025-01-01 03:04:00
185,185,logreg,0.847,131.2,2025-01-01 03:05:00
186,186,svm,0.802,276.0,2025-01-01 03:06:00
187,187,logreg,0.728,247.9,2025-01-01 03:07:00
188,188,svm,0.658,74.4,2025-01-01 03:08:00
189,189,rf,0.637,135.8,2025-01-01 03:09:00
190,190,logreg,0.779,200.8,2025-01-01 03:10:00
191,191,svm,0.514,255.4,2025-01-01 03:11:00
192,192,xgb,0.739,107.1,2025-01-01 03:12:00
193,193,svm,0.667,264.2,2025-01-01 03:13:00
194,194,svm,0.772,155.5,2025-01-01 03:14:00
195,195,xgb,0.542,216.3,2025-01-01 03:15:00
196,196,logreg,0.772,72.9,2025-01-01 03:16:00
197,197,logreg,0.816,147.8,2025-01-01 03:17:00
198,198,rf,0.546,67.3,2025-01-01 03:18:00
199,199,xgb,0.65,174.9,2025-01-01 03:19:00
200,0,logreg,0.771,103.8,2025-01-01 03:20:00
201,1,svm,0.672,136.7,2025-01-01 03:21:00
202,2,svm,0.623,37.1,2025-01-01 03:22:00
203,3,xgb,0.655,223.1,2025-01-01 03:23:00
204,4,xgb,0.594,221.8,2025-01-01 03:24:00
205,5,svm,0.855,293.0,2025-01-01 03:25:00
206,6,svm,0.98,250.0,2025-01-01 03:26:00
207,7,svm,0.611,54.7,2025-01-01 03:27:00
208,8,rf,0.847,38.8,2025-01-01 03:28:00
209,9,rf,0.977,166.5,2025-01-01 03:29:00
210,10,xgb,0.813,226.1,2025-01-01 03:30:00
211,11,rf,0.928,172.6,2025-01-01 03:31:00
212,12,logreg,0.735,102.9,2025-01-01 03:32:00
213,13,rf,0.624,258.7,2025-01-01 03:33:00
214,14,rf,0.903,120.8,2025-01-01 03:34:00
215,15,rf,0.783,206.2,2025-01-01 03:35:00
216,16,xgb,0.573,169.3,2025-01-01 03:36:00
217,17,svm,0.542,75.2,2025-01-01 03:37:00
218,18,logreg,0.797,237.4,2025-01-01 03:38:00
219,19,xgb,0.88,114.7,2025-01-01 03:39:00
220,20,logreg,0.646,177.0,2025-01-01 03:40:00
221,21,logreg,0.65,186.7,2025-01-01 03:41:00
222,22,rf,0.964,63.1,2025-01-01 03:42:00
223,23,xgb,0.63,25.3,2025-01-01 03:43:00
224,24,xgb,0.585,23.4,2025-01-01 03:44:00
225,25,rf,0.7,207.1,2025-01-01 03:45:00
226,26,logreg,0.643,70.2,2025-01-01 03:46:00
227,27,svm,0.844,136.8,2025-01-01 03:47:00
228,28,xgb,0.953,236.6,2025-01-01 03:48:00
229,29,xgb,0.708,163.8,2025-01-01 03:49:00
230,30,xgb,0.945,248.2,2025-01-01 03:50:00
231,31,rf,0.529,238.0,2025-01-01 03:51:00
232,32,svm,0.715,141.1,2025-01-01 03:52:00
233,33,svm,0.843,282.9,2025-01-01 03:53:00
234,34,logreg,0.715,179.8,2025-01-01 03:54:00
235,35,logreg,0.86,181.5,2025-01-01 03:55:00
236,36,rf,0.545,288.6,2025-01-01 03:56:00
237,37,rf,0.99,202.0,2025-01-01 03:57:00
238,38,svm,0.782,229.2,2025-01-01 03:58:00
239,39,xgb,0.731,195.8,2025-01-01 03:59:00
240,40,svm,0.589,176.0,2025-01-01 04:00:00
241,41,logreg,0.975,141.5,2025-01-01 04:01:00
242,42,logreg,0.663,201.4,2025-01-01 04:02:00
243,43,xgb,0.662,208.4,2025-01-01 04:03:00
244,44,svm,0.825,120.7,2025-01-01 04:04:00
245,45,rf,0.723,95.0,2025-01-01 04:05:00
246,46,svm,0.557,232.0,2025-01-01 04:06:00
247,47,rf,0.822,163.2,2025-01-01 04:07:00
248,48,logreg,0.527,156.0,2025-01-01 04:08:00
249,49,logreg,0.806,228.2,2025-01-01 04:09:00
250,50,xgb,0.631,40.2,2025-01-01 04:10:00
251,51,svm,0.715,209.8,2025-01-01 04:11:00
252,52,rf,0.514,189.4,2025-01-01 04:12:00
253,53,xgb,0.848,93.9,2025-01-01 04:13:00
254,54,rf,0.771,28.9,2025-01-01 04:14:00
255,55,rf,0.726,36.1,2025-01-01 04:15:00
256,56,xgb,0.744,215.3,2025-01-01 04:16:00
257,57,svm,0.704,145.3,2025-01-01 04:17:00
258,58,logreg,0.619,165.8,2025-01-01 04:18:00
259,59,logreg,0.593,180.2,2025-01-01 04:19:00
260,60,xgb,0.923,83.6,2025-01-01 04:20:00
261,61,logreg,0.667,236.5,2025-01-01 04:21:00
262,62,svm,0.902,85.6,2025-01-01 04:22:00
263,63,svm,0.91,174.4,2025-01-01 04:23:00
264,64,logreg,0.924,134.5,2025-01-01 04:24:00
265,65,logreg,0.669,166.0,2025-01-01 04:25:00
266,66,logreg,0.723,97.2,2025-01-01 04:26:00
267,67,xgb,0.981,72.4,2025-01-01 04:27:00
268,68,logreg,0.614,232.9,2025-01-01 04:28:00
269,69,rf,0.656,142.4,2025-01-01 04:29:00
270,70,logreg,0.689,199.4,2025-01-01 04:30:00
271,71,xgb,0.743,12.1,2025-01-01 04:31:00
272,72,svm,0.926,262.4,2025-01-01 04:32:00
273,73,logreg,0.549,273.2,2025-01-01 04:33:00
274,74,rf,0.854,123.6,2025-01-01 04:34:00
275,75,xgb,0.537,234.7,2025-01-01 04:35:00
276,76,svm,0.666,208.1,2025-01-01 04:36:00
277,77,rf,0.917,255.9,2025-01-01 04:37:00
278,78,logreg,0.968,188.4,2025-01-01 04:38:00
279,79,logreg,0.927,11.7,2025-01-01 04:39:00
280,80,rf,0.615,205.6,2025-01-01 04:40:00
281,81,svm,0.989,224.3,2025-01-01 04:41:00
282,82,logreg,0.979,228.4,2025-01-01 04:42:00
283,83,rf,0.717,208.5,2025-01-01 04:43:00
284,84,rf,0.523,239.0,2025-01-01 04:44:00
285,85,svm,0.676,129.8,2025-01-01 04:45:00
286,86,xgb,0.76,170.2,2025-01-01 04:46:00
287,87,xgb,0.583,24.6,2025-01-01 04:47:00
288,88,logreg,0.804,73.0,2025-01-01 04:48:00
289,89,xgb,0.614,191.7,2025-01-01 04:49:00
290,90,logreg,0.625,3.8,2025-01-01 04:50:00
291,91,logreg,0.942,203.6,2025-01-01 04:51:00
292,92,xgb,0.536,283.6,2025-01-01 04:52:00
293,93,svm,0.813,127.9,2025-01-01 04:53:00
294,94,svm,0.724,91.3,2025-01-01 04:54:00
295,95,logreg,0.918,32.9,2025-01-01 04:55:00
296,96,logreg,0.78,172.9,2025-01-01 04:56:00
297,97,svm,0.511,249.2,2025-01-01 04:57:00
298,98,logreg,0.634,170.2,2025-01-01 04:58:00
299,99,rf,0.946,223.8,2025-01-01 04:59:00
300,100,svm,0.88,69.8,2025-01-01 05:00:00
301,101,svm,0.607,57.8,2025-01-01 05:01:00
302,102,svm,0.832,216.6,2025-01-01 05:02:00
303,103,xgb,0.808,271.1,2025-01-01 05:03:00
304,104,rf,0.651,132.8,2025-01-01 05:04:00
305,105,svm,0.859,27.9,2025-01-01 05:05:00
306,106,svm,0.66,125.2,2025-01-01 05:06:00
307,107,xgb,0.565,162.3,2025-01-01 05:07:00
308,108,svm,0.76,274.1,2025-01-01 05:08:00
309,109,xgb,0.626,247.6,2025-01-01 05:09:00
310,110,logreg,0.974,89.2,2025-01-01 05:10:00
311,111,svm,0.894,141.0,2025-01-01 05:11:00
312,112,rf,0.569,290.0,2025-01-01 05:12:00
313,113,logreg,0.974,241.6,2025-01-01 05:13:00
314,114,svm,0.544,119.0,2025-01-01 05:14:00
315,115,svm,0.763,137.0,2025-01-01 05:15:00
316,116,svm,0.786,246.9,2025-01-01 05:16:00
317,117,svm,0.553,70.9,2025-01-01 05:17:00
318,118,rf,0.804,283.0,2025-01-01 05:18:00
319,119,svm,0.948,67.2,2025-01-01 05:19:00
320,120,rf,0.811,139.8,2025-01-01 05:20:00
321,121,svm,0.818,35.9,2025-01-01 05:21:00
322,122,rf,0.964,92.0,2025-01-01 05:22:00
323,123,logreg,0.557,71.2,2025-01-01 05:23:00
324,124,xgb,0.69,111.9,2025-01-01 05:24:00
325,125,logreg,0.788,218.3,2025-01-01 05:25:00
326,126,logreg,0.821,250.3,2025-01-01 05:26:00
327,127,logreg,0.96,84.6,2025-01-01 05:27:00
328,128,svm,0.606,134.0,2025-01-01 05:28:00
329,129,xgb,0.919,30.7,2025-01-01 05:29:00
330,130,svm,0.767,293.4,2025-01-01 05:30:00
331,131,svm,0.53,83.5,2025-01-01 05:31:00
332,132,rf,0.965,247.4,2025-01-01 05:32:00
333,133,rf,0.825,192.9,2025-01-01 05:33:00
334,134,rf,0.525,100.7,2025-01-01 05:34:00
335,135,xgb,0.886,62.4,2025-01-01 05:35:00
336,136,xgb,0.787,244.1,2025-01-01 05:36:00
337,137,xgb,0.661,45.1,2025-01-01 05:37:00
338,138,rf,0.636,295.2,2025-01-01 05:38:00
339,139,xgb,0.765,239.8,2025-01-01 05:39:00
340,140,rf,0.824,8.7,2025-01-01 05:40:00
341,141,rf,0.676,236.7,2025-01-01 05:41:00
342,142,svm,0.508,80.3,2025-01-01 05:42:00
343,143,xgb,0.863,158.3,2025-01-01 05:43:00
344,144,rf,0.733,233.6,2025-01-01 05:44:00
345,145,rf,0.721,67.2,2025-01-01 05:45:00
346,146,rf,0.856,272.7,2025-01-01 05:46:00
347,147,svm,0.724,289.2,2025-01-01 05:47:00
348,148,rf,0.989,254.3,2025-01-01 05:48:00
349,149,logreg,0.836,147.6,2025-01-01 05:49:00
350,150,logreg,0.536,25.2,2025-01-01 05:50:00
351,151,xgb,0.532,83.2,2025-01-01 05:51:00
352,152,svm,0.687,179.6,2025-01-01 05:52:00
353,153,svm,0.722,182.0,2025-01-01 05:53:00
354,154,rf,0.889,35.2,2025-01-01 05:54:00
355,155,xgb,0.711,266.5,2025-01-01 05:55:00
356,156,logreg,0.666,136.6,2025-01-01 05:56:00
357,157,logreg,0.858,94.5,2025-01-01 05:57:00
358,158,svm,0.826,112.9,2025-01-01 05:58:00
359,159,xgb,0.837,142.8,2025-01-01 05:59:00
360,160,rf,0.908,28.9,2025-01-01 06:00:00
361,161,rf,0.865,112.4,2025-01-01 06:01:00
362,162,xgb,0.773,176.4,2025-01-01 06:02:00
363,163,svm,0.828,123.8,2025-01-01 06:03:00
364,164,logreg,0.925,216.6,2025-01-01 06:04:00
365,165,svm,0.794,106.1,2025-01-01 06:05:00
366,166,xgb,0.576,145.2,2025-01-01 06:06:00
367,167,rf,0.672,167.3,2025-01-01 06:07:00
368,168,rf,0.874,172.7,2025-01-01 06:08:00
369,169,logreg,0.914,292.4,2025-01-01 06:09:00
370,170,rf,0.798,197.7,2025-01-01 06:10:00
371,171,svm,0.514,82.7,2025-01-01 06:11:00
372,172,svm,0.952,106.0,2025-01-01 06:12:00
373,173,xgb,0.926,170.3,2025-01-01 06:13:00
374,174,logreg,0.534,222.5,2025-01-01 06:14:00
375,175,rf,0.545,159.6,2025-01-01 06:15:00
376,176,logreg,0.706,102.9,2025-01-01 06:16:00
377,177,svm,0.653,98.0,2025-01-01 06:17:00
378,178,rf,0.933,47.5,2025-01-01 06:18:00
379,179,rf,0.83,82.4,2025-01-01 06:19:00
380,180,logreg,0.738,133.2,2025-01-01 06:20:00
381,181,svm,0.606,154.2,2025-01-01 06:21:00
382,182,svm,0.711,85.7,2025-01-01 06:22:00
383,183,logreg,0.758,93.2,2025-01-01 06:23:00
384,184,xgb,0.694,180.2,2025-01-01 06:24:00
385,185,rf,0.6,283.7,2025-01-01 06:25:00
386,186,xgb,0.874,87.5,2025-01-01 06:26:00
387,187,rf,0.504,224.4,2025-01-01 06:27:00
388,188,xgb,0.563,160.2,2025-01-01 06:28:00
389,189,xgb,0.745,250.2,2025-01-01 06:29:00
390,190,svm,0.535,258.7,2025-01-01 06:30:00
391,191,rf,0.714,138.5,2025-01-01 06:31:00
392,192,rf,0.922,173.2,2025-01-01 06:32:00
393,193,logreg,0.848,125.9,2025-01-01 06:33:00
394,194,rf,0.698,289.9,2025-01-01 06:34:00
395,195,xgb,0.893,185.8,2025-01-01 06:35:00
396,196,svm,0.543,253.5,2025-01-01 06:36:00
397,197,xgb,0.713,120.7,2025-01-01 06:37:00
398,198,rf,0.694,93.8,2025-01-01 06:38:00
399,199,svm,0.609,234.0,2025-01-01 06:39:00
400,0,rf,0.75,35.1,2025-01-01 06:40:00
401,1,xgb,0.944,105.5,2025-01-01 06:41:00
402,2,xgb,0.616,44.8,2025-01-01 06:42:00
403,3,xgb,0.585,46.7,2025-01-01 06:43:00
404,4,rf,0.587,232.1,2025-01-01 06:44:00
405,5,logreg,0.727,169.6,2025-01-01 06:45:00
406,6,logreg,0.834,264.7,2025-01-01 06:46:00
407,7,svm,0.923,188.5,2025-01-01 06:47:00
408,8,xgb,0.715,141.2,2025-01-01 06:48:00
409,9,svm,0.89,177.8,2025-01-01 06:49:00
410,10,svm,0.749,93.8,2025-01-01 06:50:00
411,11,logreg,0.518,111.3,2025-01-01 06:51:00
412,12,svm,0.538,259.4,2025-01-01 06:52:00
413,13,rf,0.801,152.6,2025-01-01 06:53:00
414,14,logreg,0.784,286.3,2025-01-01 06:54:00
415,15,rf,0.72,243.1,2025-01-01 06:55:00
416,16,xgb,0.658,143.2,2025-01-01 06:56:00
417,17,xgb,0.969,135.7,2025-01-01 06:57:00
418,18,svm,0.981,26.2,2025-01-01 06:58:00
419,19,xgb,0.519,212.6,2025-01-01 06:59:00
420,20,logreg,0.757,183.3,2025-01-01 07:00:00
421,21,svm,0.683,85.6,2025-01-01 07:01:00
422,22,logreg,0.879,204.0,2025-01-01 07:02:00
423,23,rf,0.887,194.5,2025-01-01 07:03:00
424,24,rf,0.662,167.8,2025-01-01 07:04:00
425,25,logreg,0.639,217.4,2025-01-01 07:05:00
426,26,xgb,0.663,175.2,2025-01-01 07:06:00
427,27,xgb,0.949,93.8,2025-01-01 07:07:00
428,28,logreg,0.563,212.9,2025-01-01 07:08:00
429,29,rf,0.652,113.6,2025-01-01 07:09:00
430,30,svm,0.898,201.4,2025-01-01 07:10:00
431,31,rf,0.817,127.6,2025-01-01 07:11:00
432,32,svm,0.509,93.4,2025-01-01 07:12:00
433,33,xgb,0.667,230.1,2025-01-01 07:13:00
434,34,xgb,0.611,42.1,2025-01-01 07:14:00
435,35,rf,0.645,236.6,2025-01-01 07:15:00
436,36,rf,0.824,263.0,2025-01-01 07:16:00
437,37,xgb,0.793,47.1,2025-01-01 07:17:00
438,38,xgb,0.907,231.6,2025-01-01 07:18:00
439,39,xgb,0.853,14.1,2025-01-01 07:19:00
440,40,svm,0.831,72.0,2025-01-01 07:20:00
441,41,logreg,0.799,226.0,2025-01-01 07:21:00
442,42,logreg,0.615,72.5,2025-01-01 07:22:00
443,43,logreg,0.943,59.0,2025-01-01 07:23:00
444,44,logreg,0.726,85.2,2025-01-01 07:24:00
445,45,logreg,0.746,126.2,2025-01-01 07:25:00
446,46,xgb,0.9,240.6,2025-01-01 07:26:00
447,47,xgb,0.928,16.6,2025-01-01 07:27:00
448,48,logreg,0.928,166.8,2025-01-01 07:28:00
449,49,rf,0.849,155.3,2025-01-01 07:29:00
450,50,rf,0.64,229.2,2025-01-01 07:30:00
451,51,svm,0.72,154.5,2025-01-01 07:31:00
452,52,logreg,0.545,273.2,2025-01-01 07:32:00
453,53,logreg,0.933,279.2,2025-01-01 07:33:00
454,54,logreg,0.526,151.1,2025-01-01 07:34:00
455,55,xgb,0.689,25.4,2025-01-01 07:35:00
456,56,xgb,0.514,279.3,2025-01-01 07:36:00
457,57,svm,0.888,42.1,2025-01-01 07:37:00
458,58,svm,0.95,142.3,2025-01-01 07:38:00
459,59,xgb,0.872,141.3,2025-01-01 07:39:00
460,60,rf,0.944,6.7,2025-01-01 07:40:00
461,61,xgb,0.909,165.1,2025-01-01 07:41:00
462,62,logreg,0.554,87.1,2025-01-01 07:42:00
463,63,svm,0.56,72.3,2025-01-01 07:43:00
464,64,logreg,0.531,251.2,2025-01-01 07:44:00
465,65,logreg,0.792,5.9,2025-01-01 07:45:00
466,66,xgb,0.852,88.1,2025-01-01 07:46:00
467,67,rf,0.801,72.9,2025-01-01 07:47:00
468,68,logreg,0.592,200.8,2025-01-01 07:48:00
469,69,svm,0.533,158.3,2025-01-01 07:49:00
470,70,rf,0.691,141.6,2025-01-01 07:50:00
471,71,logreg,0.981,76.8,2025-01-01 07:51:00
472,72,rf,0.675,21.2,2025-01-01 07:52:00
473,73,xgb,0.859,188.8,2025-01-01 07:53:00
474,74,svm,0.565,106.3,2025-01-01 07:54:00
475,75,svm,0.899,53.4,2025-01-01 07:55:00
476,76,logreg,0.981,144.1,2025-01-01 07:56:00
477,77,xgb,0.898,19.9,2025-01-01 07:57:00
478,78,logreg,0.518,61.3,2025-01-01 07:58:00
479,79,xgb,0.934,95.4,2025-01-01 07:59:00
480,80,svm,0.753,296.7,2025-01-01 08:00:00
481,81,logreg,0.624,226.2,2025-01-01 08:01:00
482,82,xgb,0.64,258.8,2025-01-01 08:02:00
483,83,rf,0.924,100.2,2025-01-01 08:03:00
484,84,rf,0.892,131.6,2025-01-01 08:04:00
485,85,logreg,0.864,268.5,2025-01-01 08:05:00
486,86,logreg,0.666,56.9,2025-01-01 08:06:00
487,87,logreg,0.68,239.4,2025-01-01 08:07:00
488,88,svm,0.893,218.4,2025-01-01 08:08:00
489,89,rf,0.711,298.5,2025-01-01 08:09:00
